"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","total_monthly_quota","organization","repository","cost_center_name","aic_quantity","aic_gross_amount","input","output","cache_read","cache_write"
"2025-10-01","user047_emu","copilot","coding_agent_ai_credit","Coding Agent model","62.1","ai-credits","0.01","0.621","0.621","0","1900","org001_emu","","cost_center_001","0","0","23","2587","440538","53750"
"2025-10-01","user048_emu","copilot","copilot_ai_credit","Claude Sonnet 4","523.71","ai-credits","0.01","5.2371","5.2371","0","3900","org003_emu","","cost_center_002","0","0","282","51607","4272794","848082"
"2025-10-01","user049_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","628.68","ai-credits","0.01","6.2868","6.2868","0","3900","org004_emu","","","0","0","1688959","51242","1504293","0"
"2025-10-01","user049_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","671.58","ai-credits","0.01","6.7158","6.7158","0","3900","org004_emu","","","0","0","562","124578","5156642","879588"
"2025-10-01","user050_emu","copilot","coding_agent_ai_credit","Coding Agent model","137.7","ai-credits","0.01","1.377","1.377","0","1900","org002_emu","","cost_center_001","0","0","104854","17337","2213486","94543"
"2025-10-01","user051_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","537.03","ai-credits","0.01","5.3703","5.3703","0","3900","org001_emu","","cost_center_002","0","0","620023","98955","6753029","0"
"2025-10-01","user052_emu","copilot","copilot_ai_credit","Claude Opus 4.1","263.16","ai-credits","0.01","2.6316","2.6316","0","3900","org001_emu","","","0","0","502","6595","1184480","299517"
"2025-10-01","user053_emu","copilot","copilot_ai_credit","Claude Sonnet 4","461.38","ai-credits","0.01","4.6138","4.6138","0","3900","org004_emu","","cost_center_002","0","0","8561","50233","4019423","701011"
"2025-10-01","user054_emu","copilot","copilot_ai_credit","Code Review model","89.6","ai-credits","0.01","0.896","0.896","0","1900","org005_emu","","cost_center_002","0","0","72070","24443","1788021","13749"
"2025-10-01","user055_emu","copilot","copilot_ai_credit","Claude Opus 4.1","21.6","ai-credits","0.01","0.216","0.216","0","1900","org004_emu","","cost_center_002","0","0","41","541","97221","24584"
"2025-10-01","user055_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","98.28","ai-credits","0.01","0.9828","0.9828","0","1900","org004_emu","","cost_center_002","0","0","24","17298","953215","116611"
"2025-10-01","user056_emu","copilot","copilot_ai_credit","Claude Sonnet 4","195.73","ai-credits","0.01","1.9573","1.9573","0","3900","org003_emu","","","0","0","59","11743","639925","423735"
"2025-10-01","user057_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","152.1","ai-credits","0.01","1.521","1.521","0","1900","org003_emu","","cost_center_003","0","0","71","29424","1392320","176463"
"2025-10-01","user058_emu","copilot","coding_agent_ai_credit","Coding Agent model","374.4","ai-credits","0.01","3.744","3.744","0","3900","org001_emu","","cost_center_003","0","0","436","43104","7408959","232917"
"2025-10-01","user059_emu","copilot","copilot_ai_credit","Claude Sonnet 4","257.14","ai-credits","0.01","2.5714","2.5714","0","3900","org003_emu","","cost_center_002","0","0","127","37602","1881757","384656"
"2025-10-01","user060_emu","copilot","copilot_ai_credit","Claude Sonnet 4","95.22","ai-credits","0.01","0.9522","0.9522","0","1900","org004_emu","","cost_center_001","0","0","460","9191","984058","138063"
"2025-10-01","user061_emu","copilot","copilot_ai_credit","Claude Sonnet 4","202.86","ai-credits","0.01","2.0286","2.0286","0","3900","org004_emu","","cost_center_002","0","0","165","31287","2077516","249477"
"2025-10-01","user061_emu","copilot","copilot_ai_credit","Code Review model","102.4","ai-credits","0.01","1.024","1.024","0","3900","org004_emu","","cost_center_002","0","0","433880","18908","0","0"
"2025-10-01","user062_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","366.6","ai-credits","0.01","3.666","3.666","0","3900","org005_emu","","cost_center_004","0","0","3823","86346","2902076","396990"
"2025-10-01","user062_emu","copilot","copilot_ai_credit","GPT-5","16.8","ai-credits","0.01","0.168","0.168","0","3900","org005_emu","","cost_center_004","0","0","47583","945","139463","0"
"2025-10-01","user063_emu","copilot","coding_agent_ai_credit","Coding Agent model","155.25","ai-credits","0.01","1.5525","1.5525","0","3900","org004_emu","","","0","0","220376","37596","1585459","0"
"2025-10-01","user064_emu","copilot","copilot_ai_credit","GPT-5","52","ai-credits","0.01","0.52","0.52","0","3900","org002_emu","","cost_center_003","0","0","77437","8364","803786","0"
"2025-10-01","user065_emu","copilot","copilot_ai_credit","Claude Opus 4.1","16.8","ai-credits","0.01","0.168","0.168","0","1900","org005_emu","","cost_center_004","0","0","1522","530","169","23530"
"2025-10-01","user066_emu","copilot","coding_agent_ai_credit","Coding Agent model","216.45","ai-credits","0.01","2.1645","2.1645","0","3900","org001_emu","","cost_center_001","0","0","385057","40370","5288398","0"
"2025-10-01","user067_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","62.79","ai-credits","0.01","0.6279","0.6279","0","1900","org005_emu","","cost_center_001","0","0","10","12252","422858","84598"
"2025-10-01","user068_emu","copilot","copilot_ai_credit","Claude Opus 4.1","68.64","ai-credits","0.01","0.6864","0.6864","0","3900","org001_emu","","","0","0","18","7910","561107","33280"
"2025-10-01","user069_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","53.82","ai-credits","0.01","0.5382","0.5382","0","1900","org005_emu","","cost_center_001","0","0","84251","7251","588928","0"
"2025-10-01","user070_emu","copilot","copilot_ai_credit","GPT-5","12.65","ai-credits","0.01","0.1265","0.1265","0","1900","org003_emu","","cost_center_003","0","0","21828","1752","182623","0"
"2025-10-01","user071_emu","copilot","coding_agent_ai_credit","Coding Agent model","149.175","ai-credits","0.01","1.49175","1.49175","0","3900","org001_emu","","cost_center_002","0","0","79","14375","2487536","141233"
"2025-10-01","user071_emu","copilot","copilot_ai_credit","GPT-5","17","ai-credits","0.01","0.17","0.17","0","3900","org001_emu","","cost_center_002","0","0","44332","3272","40376","0"
"2025-10-01","user072_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","26.52","ai-credits","0.01","0.2652","0.2652","0","1900","org005_emu","","cost_center_002","0","0","7","1037","103713","58268"
"2025-10-01","user072_emu","copilot","copilot_ai_credit","Code Review model","29.12","ai-credits","0.01","0.2912","0.2912","0","1900","org005_emu","","cost_center_002","0","0","35730","9911","513814","0"
"2025-10-01","user073_emu","copilot","copilot_ai_credit","Claude Sonnet 4","32.2","ai-credits","0.01","0.322","0.322","0","1900","org005_emu","","","0","0","59353","2650","347294","0"
"2025-10-01","user074_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","53.04","ai-credits","0.01","0.5304","0.5304","0","1900","org002_emu","","cost_center_004","0","0","43","9848","734223","43277"
"2025-10-01","user075_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","89.7","ai-credits","0.01","0.897","0.897","0","1900","org005_emu","","cost_center_001","0","0","36","7804","355442","179520"
"2025-10-01","user076_emu","copilot","copilot_ai_credit","GPT-5","13.8","ai-credits","0.01","0.138","0.138","0","1900","org002_emu","","cost_center_004","0","0","24053","4267","55450","0"
"2025-10-01","user077_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","269.1","ai-credits","0.01","2.691","2.691","0","3900","org005_emu","","cost_center_002","0","0","77","100880","948134","238169"
"2025-10-01","user077_emu","copilot","copilot_ai_credit","GPT-5","12.75","ai-credits","0.01","0.1275","0.1275","0","3900","org005_emu","","cost_center_002","0","0","8554","4543","151883","0"
"2025-10-01","user078_emu","copilot","copilot_ai_credit","Claude Sonnet 4","55.2","ai-credits","0.01","0.552","0.552","0","3900","org002_emu","","","0","0","20","5185","321551","100720"
"2025-10-01","user078_emu","copilot","coding_agent_ai_credit","Coding Agent model","75.6","ai-credits","0.01","0.756","0.756","0","3900","org002_emu","","","0","0","98303","16676","1040411","0"
"2025-10-01","user079_emu","copilot","copilot_ai_credit","Claude Opus 4.1","88.8","ai-credits","0.01","0.888","0.888","0","3900","org004_emu","","cost_center_002","0","0","51","5019","566708","76625"
"2025-10-01","user080_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","187.2","ai-credits","0.01","1.872","1.872","0","3900","org002_emu","","cost_center_002","0","0","75","58307","695237","210295"
"2025-10-01","user081_emu","copilot","copilot_ai_credit","Claude Sonnet 4","9.66","ai-credits","0.01","0.0966","0.0966","0","1900","org001_emu","","cost_center_001","0","0","23310","1120","32879","0"
"2025-10-01","user081_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","27.3","ai-credits","0.01","0.273","0.273","0","1900","org001_emu","","cost_center_001","0","0","34520","9198","104894","0"
"2025-10-01","user082_emu","copilot","copilot_ai_credit","GPT-5","33.8","ai-credits","0.01","0.338","0.338","0","3900","org001_emu","","","0","0","54220","3325","610282","0"
"2025-10-01","user083_emu","copilot","copilot_ai_credit","Claude Opus 4.1","99.36","ai-credits","0.01","0.9936","0.9936","0","3900","org001_emu","","cost_center_001","0","0","116178","9399","141387","17127"
"2025-10-01","user083_emu","copilot","copilot_ai_credit","GPT-5","20.7","ai-credits","0.01","0.207","0.207","0","3900","org001_emu","","cost_center_001","0","0","44098","1603","290869","0"
"2025-10-01","user084_emu","copilot","copilot_ai_credit","GPT-5","17.5","ai-credits","0.01","0.175","0.175","0","3900","org001_emu","","cost_center_001","0","0","33942","1310","281982","0"
"2025-10-02","power-user-001_emu","copilot","copilot_ai_credit","Claude Haiku 4.5","8.349","ai-credits","0.01","0.08349","0.08349","0","1900","","","","0","0","75","5225","178857","31521"
"2025-10-02","power-user-001_emu","copilot","copilot_ai_credit","Claude Opus 4.5","28.08","ai-credits","0.01","0.2808","0.2808","0","1900","","","","0","0","6","1496","230344","20511"
"2025-10-02","power-user-001_emu","copilot","copilot_ai_credit","GPT-5.1-Codex","60.32","ai-credits","0.01","0.6032","0.6032","0","1900","","","","0","0","114970","10433","1462493","0"
"2025-10-02","power-user-003_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","13.26","ai-credits","0.01","0.1326","0.1326","0","1900","","","","0","0","1","2979","38544","20360"
"2025-10-02","power-user-004_emu","copilot","copilot_ai_credit","Claude Opus 4.5","35.28","ai-credits","0.01","0.3528","0.3528","0","1900","","","","0","0","12","4574","270691","16488"
"2025-10-02","power-user-004_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","415.74","ai-credits","0.01","4.1574","4.1574","0","1900","","","","0","0","180","31069","1533971","861502"
"2025-10-02","power-user-005_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","291.72","ai-credits","0.01","2.9172","2.9172","0","1900","","","","0","0","111","40975","2239578","434764"
"2025-10-02","power-user-005_emu","copilot","copilot_ai_credit","Code Review model","2.24","ai-credits","0.01","0.0224","0.0224","0","1900","","","","0","0","2547","614","53415","0"
"2025-10-02","power-user-007_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","205.53","ai-credits","0.01","2.0553","2.0553","0","1900","","","","0","0","43197","32893","2815941","156677"
"2025-10-02","power-user-007_emu","copilot","copilot_ai_credit","GPT-5","7.8","ai-credits","0.01","0.078","0.078","0","1900","","","","0","0","13877","1116","106276","0"
"2025-10-02","user002_emu","copilot","copilot_ai_credit","Claude Sonnet 4","207","ai-credits","0.01","2.07","2.07","0","3900","org002_emu","","cost_center_001","0","0","196712","66774","1169539","33972"
"2025-10-02","user002_emu","copilot","copilot_ai_credit","GPT-5","5.2","ai-credits","0.01","0.052","0.052","0","3900","org002_emu","","cost_center_001","0","0","6977","1139","69883","0"
"2025-10-02","user003_emu","copilot","copilot_ai_credit","Claude Sonnet 4","16.1","ai-credits","0.01","0.161","0.161","0","1900","org003_emu","","cost_center_001","0","0","917","1508","105095","27759"
"2025-10-02","user004_emu","copilot","copilot_ai_credit","Claude Sonnet 4","64.4","ai-credits","0.01","0.644","0.644","0","3900","org004_emu","","cost_center_001","0","0","63353","12892","868534","0"
"2025-10-02","user043_emu","copilot","copilot_ai_credit","Claude Sonnet 4","297.16","ai-credits","0.01","2.9716","2.9716","0","1900","org001_emu","","cost_center_001","0","0","7907","48683","4671770","217626"
"2025-10-02","user043_emu","copilot","copilot_ai_credit","GPT-5","43.7","ai-credits","0.01","0.437","0.437","0","1900","org001_emu","","cost_center_001","0","0","71313","4770","748685","0"
"2025-10-02","user044_emu","copilot","copilot_ai_credit","Claude Opus 4.1","61.2","ai-credits","0.01","0.612","0.612","0","1900","org005_emu","","cost_center_004","0","0","4","4880","262761","57377"
"2025-10-02","user044_emu","copilot","copilot_ai_credit","Claude Sonnet 4","230.69","ai-credits","0.01","2.3069","2.3069","0","1900","org005_emu","","cost_center_004","0","0","57","18258","1756240","401596"
"2025-10-02","user045_emu","copilot","copilot_ai_credit","Claude Sonnet 4","735.31","ai-credits","0.01","7.3531","7.3531","0","3900","org005_emu","","","0","0","116","59840","568158","1675922"
"2025-10-02","user045_emu","copilot","copilot_ai_credit","Code Review model","156.8","ai-credits","0.01","1.568","1.568","0","3900","org005_emu","","","0","0","547776","43528","0","0"
"2025-10-02","user046_emu","copilot","copilot_ai_credit","Claude Opus 4.1","527.16","ai-credits","0.01","5.2716","5.2716","0","3900","org004_emu","","","0","0","20630","26796","2350448","531734"
"2025-10-02","user047_emu","copilot","coding_agent_ai_credit","Coding Agent model","113.4","ai-credits","0.01","1.134","1.134","0","1900","org001_emu","","cost_center_001","0","0","33","8804","660817","93331"
"2025-10-02","user048_emu","copilot","coding_agent_ai_credit","Coding Agent model","418.5","ai-credits","0.01","4.185","4.185","0","3900","org003_emu","","cost_center_002","0","0","1053213","40569","4557723","39005"
"2025-10-02","user049_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","351.39","ai-credits","0.01","3.5139","3.5139","0","3900","org004_emu","","","0","0","148","62598","4704473","310171"
"2025-10-02","user049_emu","copilot","copilot_ai_credit","GPT-5","136.5","ai-credits","0.01","1.365","1.365","0","3900","org004_emu","","","0","0","325985","31379","317419","0"
"2025-10-02","user050_emu","copilot","copilot_ai_credit","Claude Opus 4.1","49.68","ai-credits","0.01","0.4968","0.4968","0","1900","org002_emu","","cost_center_001","0","0","17","4984","285631","36690"
"2025-10-02","user050_emu","copilot","copilot_ai_credit","Claude Opus 4.1","109.2","ai-credits","0.01","1.092","1.092","0","1900","org002_emu","","cost_center_001","0","0","4","7059","0","146482"
"2025-10-02","user051_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","825.24","ai-credits","0.01","8.2524","8.2524","0","3900","org001_emu","","cost_center_002","0","0","22902","72309","3639139","1601952"
"2025-10-02","user051_emu","copilot","coding_agent_ai_credit","Coding Agent model","207","ai-credits","0.01","2.07","2.07","0","3900","org001_emu","","cost_center_002","0","0","293835","50128","2113945","0"
"2025-10-02","user052_emu","copilot","copilot_ai_credit","Claude Sonnet 4","533.6","ai-credits","0.01","5.336","5.336","0","3900","org001_emu","","","0","0","115","46977","3601794","946789"
"2025-10-02","user053_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","897","ai-credits","0.01","8.97","8.97","0","3900","org004_emu","","cost_center_002","0","0","259","36254","1080167","2160364"
"2025-10-02","user054_emu","copilot","copilot_ai_credit","Claude Sonnet 4","140.76","ai-credits","0.01","1.4076","1.4076","0","1900","org005_emu","","cost_center_002","0","0","3745","23060","2212944","103086"
"2025-10-02","user055_emu","copilot","copilot_ai_credit","Claude Opus 4.1","18.48","ai-credits","0.01","0.1848","0.1848","0","1900","org004_emu","","cost_center_002","0","0","3","1216","63642","19609"
"2025-10-02","user056_emu","copilot","copilot_ai_credit","GPT-5","38.25","ai-credits","0.01","0.3825","0.3825","0","3900","org003_emu","","","0","0","41107","3143","930363","0"
"2025-10-02","user057_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","79.56","ai-credits","0.01","0.7956","0.7956","0","1900","org003_emu","","cost_center_003","0","0","88925","27364","394561","0"
"2025-10-02","user058_emu","copilot","copilot_ai_credit","Code Review model","60.8","ai-credits","0.01","0.608","0.608","0","3900","org001_emu","","cost_center_003","0","0","15","10504","73411","49378"
"2025-10-02","user058_emu","copilot","copilot_ai_credit","Code Review model","103.36","ai-credits","0.01","1.0336","1.0336","0","3900","org001_emu","","cost_center_003","0","0","14","7565","510620","94255"
"2025-10-02","user059_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","475.8","ai-credits","0.01","4.758","4.758","0","3900","org003_emu","","cost_center_002","0","0","1776","90798","5869525","434624"
"2025-10-02","user060_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","76.44","ai-credits","0.01","0.7644","0.7644","0","1900","org004_emu","","cost_center_001","0","0","4","2322","0","194550"
"2025-10-02","user061_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","265.2","ai-credits","0.01","2.652","2.652","0","3900","org004_emu","","cost_center_002","0","0","36","9014","0","671114"
"2025-10-02","user062_emu","copilot","copilot_ai_credit","Claude Opus 4.1","84","ai-credits","0.01","0.84","0.84","0","3900","org005_emu","","cost_center_004","0","0","9","6305","439320","74027"
"2025-10-02","user063_emu","copilot","copilot_ai_credit","GPT-5","42.55","ai-credits","0.01","0.4255","0.4255","0","3900","org004_emu","","","0","0","48109","7119","793789","0"
"2025-10-02","user064_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","143.52","ai-credits","0.01","1.4352","1.4352","0","3900","org002_emu","","cost_center_003","0","0","55","15886","2051282","155030"
"2025-10-02","user064_emu","copilot","coding_agent_ai_credit","Coding Agent model","139.5","ai-credits","0.01","1.395","1.395","0","3900","org002_emu","","cost_center_003","0","0","209583","21914","2169300","0"
"2025-10-02","user065_emu","copilot","copilot_ai_credit","GPT-5","13.8","ai-credits","0.01","0.138","0.138","0","1900","org005_emu","","cost_center_004","0","0","41121","844","90122","0"
"2025-10-02","user066_emu","copilot","copilot_ai_credit","Code Review model","71.68","ai-credits","0.01","0.7168","0.7168","0","3900","org001_emu","","cost_center_001","0","0","114316","24066","1027557","0"
"2025-10-02","user067_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","21.84","ai-credits","0.01","0.2184","0.2184","0","1900","org005_emu","","cost_center_001","0","0","2","2228","83060","42682"
"2025-10-02","user067_emu","copilot","copilot_ai_credit","Code Review model","22.4","ai-credits","0.01","0.224","0.224","0","1900","org005_emu","","cost_center_001","0","0","29689","5669","529599","0"
"2025-10-02","user068_emu","copilot","coding_agent_ai_credit","Coding Agent model","135","ai-credits","0.01","1.35","1.35","0","3900","org001_emu","","","0","0","200543","27370","1752354","0"
"2025-10-02","user069_emu","copilot","coding_agent_ai_credit","Coding Agent model","64.35","ai-credits","0.01","0.6435","0.6435","0","1900","org005_emu","","cost_center_001","0","0","91344","15583","657161","0"
"2025-10-02","user070_emu","copilot","copilot_ai_credit","Claude Opus 4.1","26.4","ai-credits","0.01","0.264","0.264","0","1900","org003_emu","","cost_center_003","0","0","4","5759","98473","11321"
"2025-10-02","user071_emu","copilot","copilot_ai_credit","GPT-5","42.55","ai-credits","0.01","0.4255","0.4255","0","3900","org001_emu","","cost_center_002","0","0","65698","6239","670669","0"
"2025-10-02","user072_emu","copilot","copilot_ai_credit","Claude Opus 4.1","6.12","ai-credits","0.01","0.0612","0.0612","0","1900","org005_emu","","cost_center_002","0","0","1","269","7954","8079"
"2025-10-02","user072_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","60.84","ai-credits","0.01","0.6084","0.6084","0","1900","org005_emu","","cost_center_002","0","0","23","18174","100833","81461"
"2025-10-02","user073_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","72.93","ai-credits","0.01","0.7293","0.7293","0","1900","org005_emu","","","0","0","2491","8768","870339","87788"
"2025-10-02","user074_emu","copilot","copilot_ai_credit","Code Review model","17.92","ai-credits","0.01","0.1792","0.1792","0","1900","org002_emu","","cost_center_004","0","0","22833","7014","234593","0"
"2025-10-02","user075_emu","copilot","copilot_ai_credit","Claude Sonnet 4","43.01","ai-credits","0.01","0.4301","0.4301","0","1900","org005_emu","","cost_center_001","0","0","12","4655","268160","74610"
"2025-10-02","user076_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","35.88","ai-credits","0.01","0.3588","0.3588","0","1900","org002_emu","","cost_center_004","0","0","5","8925","318813","34469"
"2025-10-02","user076_emu","copilot","coding_agent_ai_credit","Coding Agent model","31.5","ai-credits","0.01","0.315","0.315","0","1900","org002_emu","","cost_center_004","0","0","15","1999","354394","14041"
"2025-10-02","user077_emu","copilot","coding_agent_ai_credit","Coding Agent model","198.9","ai-credits","0.01","1.989","1.989","0","3900","org005_emu","","cost_center_002","0","0","108","42325","2563214","155957"
"2025-10-02","user078_emu","copilot","coding_agent_ai_credit","Coding Agent model","141.525","ai-credits","0.01","1.41525","1.41525","0","3900","org002_emu","","","0","0","122476","60387","3573545","280806"
"2025-10-02","user079_emu","copilot","copilot_ai_credit","Claude Sonnet 4","78.2","ai-credits","0.01","0.782","0.782","0","3900","org004_emu","","cost_center_002","0","0","25","19964","515591","87411"
"2025-10-02","user079_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","258.57","ai-credits","0.01","2.5857","2.5857","0","3900","org004_emu","","cost_center_002","0","0","42","41273","1397005","412634"
"2025-10-02","user080_emu","copilot","copilot_ai_credit","GPT-5","24.65","ai-credits","0.01","0.2465","0.2465","0","3900","org002_emu","","cost_center_002","0","0","57685","5160","99574","0"
"2025-10-02","user081_emu","copilot","coding_agent_ai_credit","Coding Agent model","70.2","ai-credits","0.01","0.702","0.702","0","1900","org001_emu","","cost_center_001","0","0","1273","6327","623614","110985"
"2025-10-02","user082_emu","copilot","copilot_ai_credit","Code Review model","105.6","ai-credits","0.01","1.056","1.056","0","3900","org001_emu","","","0","0","108930","23440","3069801","0"
"2025-10-02","user083_emu","copilot","copilot_ai_credit","GPT-5","31","ai-credits","0.01","0.31","0.31","0","3900","org001_emu","","cost_center_001","0","0","45525","3634","566685","0"
"2025-10-02","user084_emu","copilot","copilot_ai_credit","Claude Opus 4.1","28.56","ai-credits","0.01","0.2856","0.2856","0","3900","org001_emu","","cost_center_001","0","0","5","799","104136","34165"
"2025-10-02","user084_emu","copilot","copilot_ai_credit","Claude Sonnet 4.5","273.78","ai-credits","0.01","2.7378","2.7378","0","3900","org001_emu","","cost_center_001","0","0","389808","99908","232530","0"
"2025-10-03","power-user-001_emu","copilot","copilot_ai_credit","Claude Haiku 4.5","12.012","ai-credits","0.01","0.12012","0.12012","0","1900","","","","0","0","18","2939","196419","68613"
"2025-10-03","power-user-001_emu","copilot","copilot_ai_credit","Claude Opus 4.5","18.48","ai-credits","0.01","0.1848","0.1848","0","1900","","","","0","0","342","2875","86357","10886"
"2025-10-03","power-user-001_emu","copilot","copilot_ai_credit","Gemini 3 Pro","11.5","ai-credits","0.01","0.115","0.115","0","1900","","","","0","0","52449","312","31764","0"
"2025-10-03","power-user-001_emu","copilot","copilot_ai_credit","GPT-5.1-Codex","39.44","ai-credits","0.01","0.3944","0.3944","0","1900","","","","0","0","185262","1386","290210","0"
"2025-10-03","power-user-002_emu","copilot","copilot_ai_credit","Claude Sonnet 4","5.29","ai-credits","0.01","0.0529","0.0529","0","1900","","","","0","0","1","1036","94080","2436"
