"date","username","product","sku","model","quantity","unit_type","applied_cost_per_quantity","gross_amount","discount_amount","net_amount","exceeds_quota","total_monthly_quota","organization","cost_center_name","aic_quantity","aic_gross_amount"
"2025-10-01","user059_emu","copilot","copilot_premium_request","Claude Sonnet 4","43","requests","0.04","1.72","1.72","0","False","1000","org003_emu","cost_center_002","257.14","2.5714"
"2025-10-01","user060_emu","copilot","copilot_premium_request","Claude Sonnet 4","18","requests","0.04","0.72","0.72","0","False","300","org004_emu","cost_center_001","95.22","0.9522"
"2025-10-01","user061_emu","copilot","copilot_premium_request","Claude Sonnet 4","63","requests","0.04","2.52","2.52","0","False","1000","org004_emu","cost_center_002","202.86","2.0286"
"2025-10-01","user061_emu","copilot","copilot_premium_request","Code Review model","32","requests","0.04","1.28","1.28","0","False","1000","org004_emu","cost_center_002","0","0"
"2025-10-01","user062_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","47","requests","0.04","1.88","1.88","0","False","1000","org005_emu","cost_center_004","366.6","3.666"
"2025-10-01","user062_emu","copilot","copilot_premium_request","GPT-5","24","requests","0.04","0.96","0.96","0","False","1000","org005_emu","cost_center_004","16.8","0.168"
"2025-10-01","user063_emu","copilot","copilot_premium_request","Coding Agent model","30","requests","0.04","1.2","1.2","0","False","1000","org004_emu","","155.25","1.5525"
"2025-10-01","user064_emu","copilot","copilot_premium_request","GPT-5","40","requests","0.04","1.6","1.6","0","False","1000","org002_emu","cost_center_003","52","0.52"
"2025-10-01","user065_emu","copilot","copilot_premium_request","Claude Opus 4.1","7","requests","0.04","0.28","0.28","0","False","300","org005_emu","cost_center_004","16.8","0.168"
"2025-10-01","user066_emu","copilot","copilot_premium_request","Coding Agent model","37","requests","0.04","1.48","1.48","0","False","1000","org001_emu","cost_center_001","216.45","2.1645"
"2025-10-01","user067_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","7","requests","0.04","0.28","0.28","0","False","300","org005_emu","cost_center_001","62.79","0.6279"
"2025-10-01","user068_emu","copilot","copilot_premium_request","Claude Opus 4.1","22","requests","0.04","0.88","0.88","0","False","1000","org001_emu","","68.64","0.6864"
"2025-10-01","user069_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","6","requests","0.04","0.24","0.24","0","False","300","org005_emu","cost_center_001","53.82","0.5382"
"2025-10-01","user070_emu","copilot","copilot_premium_request","GPT-5","11","requests","0.04","0.44","0.44","0","False","300","org003_emu","cost_center_003","12.65","0.1265"
"2025-10-01","user071_emu","copilot","copilot_premium_request","Coding Agent model","39","requests","0.04","1.56","1.56","0","False","1000","org001_emu","cost_center_002","149.175","1.49175"
"2025-10-01","user071_emu","copilot","copilot_premium_request","GPT-5","20","requests","0.04","0.8","0.8","0","False","1000","org001_emu","cost_center_002","17","0.17"
"2025-10-01","user072_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","4","requests","0.04","0.16","0.16","0","False","300","org005_emu","cost_center_002","26.52","0.2652"
"2025-10-01","user072_emu","copilot","copilot_premium_request","Code Review model","7","requests","0.04","0.28","0.28","0","False","300","org005_emu","cost_center_002","29.12","0.2912"
"2025-10-01","user073_emu","copilot","copilot_premium_request","Claude Sonnet 4","10","requests","0.04","0.4","0.4","0","False","300","org005_emu","","32.2","0.322"
"2025-10-01","user074_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","8","requests","0.04","0.32","0.32","0","False","300","org002_emu","cost_center_004","53.04","0.5304"
"2025-10-01","user075_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","10","requests","0.04","0.4","0.4","0","False","300","org005_emu","cost_center_001","89.7","0.897"
"2025-10-01","user076_emu","copilot","copilot_premium_request","GPT-5","12","requests","0.04","0.48","0.48","0","False","300","org002_emu","cost_center_004","13.8","0.138"
"2025-10-01","user077_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","30","requests","0.04","1.2","1.2","0","False","1000","org005_emu","cost_center_002","269.1","2.691"
"2025-10-01","user077_emu","copilot","copilot_premium_request","GPT-5","15","requests","0.04","0.6","0.6","0","False","1000","org005_emu","cost_center_002","12.75","0.1275"
"2025-10-01","user078_emu","copilot","copilot_premium_request","Claude Sonnet 4","12","requests","0.04","0.48","0.48","0","False","1000","org002_emu","","55.2","0.552"
"2025-10-01","user078_emu","copilot","copilot_premium_request","Coding Agent model","24","requests","0.04","0.96","0.96","0","False","1000","org002_emu","","75.6","0.756"
"2025-10-01","user079_emu","copilot","copilot_premium_request","Claude Opus 4.1","37","requests","0.04","1.48","1.48","0","False","1000","org004_emu","cost_center_002","88.8","0.888"
"2025-10-01","user080_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","24","requests","0.04","0.96","0.96","0","False","1000","org002_emu","cost_center_002","187.2","1.872"
"2025-10-01","user081_emu","copilot","copilot_premium_request","Claude Sonnet 4","3","requests","0.04","0.12","0.12","0","False","300","org001_emu","cost_center_001","9.66","0.0966"
"2025-10-01","user081_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","5","requests","0.04","0.2","0.2","0","False","300","org001_emu","cost_center_001","27.3","0.273"
"2025-10-01","user082_emu","copilot","copilot_premium_request","GPT-5","26","requests","0.04","1.04","1.04","0","False","1000","org001_emu","","33.8","0.338"
"2025-10-01","user083_emu","copilot","copilot_premium_request","Claude Opus 4.1","36","requests","0.04","1.44","1.44","0","False","1000","org001_emu","cost_center_001","99.36","0.9936"
"2025-10-01","user083_emu","copilot","copilot_premium_request","GPT-5","18","requests","0.04","0.72","0.72","0","False","1000","org001_emu","cost_center_001","20.7","0.207"
"2025-10-01","user084_emu","copilot","copilot_premium_request","GPT-5","25","requests","0.04","1","1","0","False","1000","org001_emu","cost_center_001","17.5","0.175"
"2025-10-02","power-user-001_emu","copilot","copilot_premium_request","Claude Haiku 4.5","7.260000000000001","requests","0.04","0.2904","0.2904","0","False","300","","","8.349","0.08349"
"2025-10-02","power-user-001_emu","copilot","copilot_premium_request","Claude Opus 4.5","9","requests","0.04","0.36","0.36","0","False","300","","","28.08","0.2808"
"2025-10-02","power-user-001_emu","copilot","copilot_premium_request","GPT-5.1-Codex","8","requests","0.04","0.32","0.32","0","False","300","","","60.32","0.6032"
"2025-10-02","power-user-003_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","2","requests","0.04","0.08","0.08","0","False","300","","","13.26","0.1326"
"2025-10-02","power-user-004_emu","copilot","copilot_premium_request","Claude Opus 4.5","21","requests","0.04","0.84","0.84","0","False","300","","","35.28","0.3528"
"2025-10-02","power-user-004_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","41","requests","0.04","1.64","1.64","0","False","300","","","415.74","4.1574"
"2025-10-02","power-user-005_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","44","requests","0.04","1.76","1.76","0","False","300","","","291.72","2.9172"
"2025-10-02","power-user-005_emu","copilot","copilot_premium_request","Code Review model","1","requests","0.04","0.04","0.04","0","False","300","","","2.24","0.0224"
"2025-10-02","power-user-007_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","31","requests","0.04","1.24","1.24","0","False","300","","","205.53","2.0553"
"2025-10-02","power-user-007_emu","copilot","copilot_premium_request","GPT-5","6","requests","0.04","0.24","0.24","0","False","300","","","7.8","0.078"
"2025-10-02","user002_emu","copilot","copilot_premium_request","Claude Sonnet 4","45","requests","0.04","1.8","1.8","0","False","1000","org002_emu","cost_center_001","207","2.07"
"2025-10-02","user002_emu","copilot","copilot_premium_request","GPT-5","4","requests","0.04","0.16","0.16","0","False","1000","org002_emu","cost_center_001","5.2","0.052"
"2025-10-02","user003_emu","copilot","copilot_premium_request","Claude Sonnet 4","5","requests","0.04","0.2","0.2","0","False","300","org003_emu","cost_center_001","16.1","0.161"
"2025-10-02","user004_emu","copilot","copilot_premium_request","Claude Sonnet 4","14","requests","0.04","0.56","0.56","0","False","1000","org004_emu","cost_center_001","64.4","0.644"
"2025-10-02","user043_emu","copilot","copilot_premium_request","Claude Sonnet 4","76","requests","0.04","3.04","3.04","0","False","300","org001_emu","cost_center_001","297.16","2.9716"
"2025-10-02","user043_emu","copilot","copilot_premium_request","GPT-5","38","requests","0.04","1.52","1.52","0","False","300","org001_emu","cost_center_001","43.7","0.437"
"2025-10-02","user044_emu","copilot","copilot_premium_request","Claude Opus 4.1","30","requests","0.04","1.2","1.2","0","False","300","org005_emu","cost_center_004","61.2","0.612"
"2025-10-02","user044_emu","copilot","copilot_premium_request","Claude Sonnet 4","59","requests","0.04","2.36","2.36","0","False","300","org005_emu","cost_center_004","230.69","2.3069"
"2025-10-02","user045_emu","copilot","copilot_premium_request","Claude Sonnet 4","139","requests","0.04","5.56","5.56","0","False","1000","org005_emu","","735.31","7.3531"
"2025-10-02","user045_emu","copilot","copilot_premium_request","Code Review model","70","requests","0.04","2.8","2.8","0","False","1000","org005_emu","","156.8","1.568"
"2025-10-02","user046_emu","copilot","copilot_premium_request","Claude Opus 4.1","191","requests","0.04","7.64","7.64","0","False","1000","org004_emu","","527.16","5.2716"
"2025-10-02","user047_emu","copilot","copilot_premium_request","Coding Agent model","36","requests","0.04","1.44","1.44","0","False","300","org001_emu","cost_center_001","113.4","1.134"
"2025-10-02","user048_emu","copilot","copilot_premium_request","Coding Agent model","93","requests","0.04","3.72","3.72","0","False","1000","org003_emu","cost_center_002","418.5","4.185"
"2025-10-02","user049_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","53","requests","0.04","2.12","2.12","0","False","1000","org004_emu","","351.39","3.5139"
"2025-10-02","user049_emu","copilot","copilot_premium_request","GPT-5","105","requests","0.04","4.2","4.2","0","False","1000","org004_emu","","136.5","1.365"
"2025-10-02","user050_emu","copilot","copilot_premium_request","Claude Opus 4.1","18","requests","0.04","0.72","0.72","0","False","300","org002_emu","cost_center_001","49.68","0.4968"
"2025-10-02","user050_emu","copilot","copilot_premium_request","Claude Opus 4.1","35","requests","0.04","1.4","1.4","0","False","300","org002_emu","cost_center_001","109.2","1.092"
"2025-10-02","user051_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","92","requests","0.04","3.68","3.68","0","False","1000","org001_emu","cost_center_002","825.24","8.2524"
"2025-10-02","user051_emu","copilot","copilot_premium_request","Coding Agent model","46","requests","0.04","1.84","1.84","0","False","1000","org001_emu","cost_center_002","207","2.07"
"2025-10-02","user052_emu","copilot","copilot_premium_request","Claude Sonnet 4","116","requests","0.04","4.64","4.64","0","False","1000","org001_emu","","533.6","5.336"
"2025-10-02","user053_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","100","requests","0.04","4","4","0","False","1000","org004_emu","cost_center_002","897","8.97"
"2025-10-02","user054_emu","copilot","copilot_premium_request","Claude Sonnet 4","36","requests","0.04","1.44","1.44","0","False","300","org005_emu","cost_center_002","140.76","1.4076"
"2025-10-02","user055_emu","copilot","copilot_premium_request","Claude Opus 4.1","11","requests","0.04","0.44","0.44","0","False","300","org004_emu","cost_center_002","18.48","0.1848"
"2025-10-02","user056_emu","copilot","copilot_premium_request","GPT-5","45","requests","0.04","1.8","1.8","0","False","1000","org003_emu","","38.25","0.3825"
"2025-10-02","user057_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","12","requests","0.04","0.48","0.48","0","False","300","org003_emu","cost_center_003","79.56","0.7956"
"2025-10-02","user058_emu","copilot","copilot_premium_request","Code Review model","19","requests","0.04","0.76","0.76","0","False","1000","org001_emu","cost_center_003","0","0"
"2025-10-02","user058_emu","copilot","copilot_premium_request","Code Review model","38","requests","0.04","1.52","1.52","0","False","1000","org001_emu","cost_center_003","103.36","1.0336"
"2025-10-02","user059_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","61","requests","0.04","2.44","2.44","0","False","1000","org003_emu","cost_center_002","475.8","4.758"
"2025-10-02","user060_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","14","requests","0.04","0.56","0.56","0","False","300","org004_emu","cost_center_001","76.44","0.7644"
"2025-10-02","user061_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","34","requests","0.04","1.36","1.36","0","False","1000","org004_emu","cost_center_002","265.2","2.652"
"2025-10-02","user062_emu","copilot","copilot_premium_request","Claude Opus 4.1","35","requests","0.04","1.4","1.4","0","False","1000","org005_emu","cost_center_004","84","0.84"
"2025-10-02","user063_emu","copilot","copilot_premium_request","GPT-5","37","requests","0.04","1.48","1.48","0","False","1000","org004_emu","","42.55","0.4255"
"2025-10-02","user064_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","16","requests","0.04","0.64","0.64","0","False","1000","org002_emu","cost_center_003","143.52","1.4352"
"2025-10-02","user064_emu","copilot","copilot_premium_request","Coding Agent model","31","requests","0.04","1.24","1.24","0","False","1000","org002_emu","cost_center_003","139.5","1.395"
"2025-10-02","user065_emu","copilot","copilot_premium_request","GPT-5","12","requests","0.04","0.48","0.48","0","False","300","org005_emu","cost_center_004","13.8","0.138"
"2025-10-02","user066_emu","copilot","copilot_premium_request","Code Review model","32","requests","0.04","1.28","1.28","0","False","1000","org001_emu","cost_center_001","71.68","0.7168"
"2025-10-02","user067_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","4","requests","0.04","0.16","0.16","0","False","300","org005_emu","cost_center_001","21.84","0.2184"
"2025-10-02","user067_emu","copilot","copilot_premium_request","Code Review model","7","requests","0.04","0.28","0.28","0","False","300","org005_emu","cost_center_001","0","0"
"2025-10-02","user068_emu","copilot","copilot_premium_request","Coding Agent model","30","requests","0.04","1.2","1.2","0","False","1000","org001_emu","","135","1.35"
"2025-10-02","user069_emu","copilot","copilot_premium_request","Coding Agent model","11","requests","0.04","0.44","0.44","0","False","300","org005_emu","cost_center_001","64.35","0.6435"
"2025-10-02","user070_emu","copilot","copilot_premium_request","Claude Opus 4.1","11","requests","0.04","0.44","0.44","0","False","300","org003_emu","cost_center_003","26.4","0.264"
"2025-10-02","user071_emu","copilot","copilot_premium_request","GPT-5","37","requests","0.04","1.48","1.48","0","False","1000","org001_emu","cost_center_002","42.55","0.4255"
"2025-10-02","user072_emu","copilot","copilot_premium_request","Claude Opus 4.1","3","requests","0.04","0.12","0.12","0","False","300","org005_emu","cost_center_002","6.12","0.0612"
"2025-10-02","user072_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","6","requests","0.04","0.24","0.24","0","False","300","org005_emu","cost_center_002","60.84","0.6084"
"2025-10-02","user073_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","11","requests","0.04","0.44","0.44","0","False","300","org005_emu","","72.93","0.7293"
"2025-10-02","user074_emu","copilot","copilot_premium_request","Code Review model","8","requests","0.04","0.32","0.32","0","False","300","org002_emu","cost_center_004","17.92","0.1792"
"2025-10-02","user075_emu","copilot","copilot_premium_request","Claude Sonnet 4","11","requests","0.04","0.44","0.44","0","False","300","org005_emu","cost_center_001","43.01","0.4301"
"2025-10-02","user076_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","4","requests","0.04","0.16","0.16","0","False","300","org002_emu","cost_center_004","35.88","0.3588"
"2025-10-02","user076_emu","copilot","copilot_premium_request","Coding Agent model","7","requests","0.04","0.28","0.28","0","False","300","org002_emu","cost_center_004","31.5","0.315"
"2025-10-02","user077_emu","copilot","copilot_premium_request","Coding Agent model","34","requests","0.04","1.36","1.36","0","False","1000","org005_emu","cost_center_002","198.9","1.989"
"2025-10-02","user078_emu","copilot","copilot_premium_request","Coding Agent model","37","requests","0.04","1.48","1.48","0","False","1000","org002_emu","","141.525","1.41525"
"2025-10-02","user079_emu","copilot","copilot_premium_request","Claude Sonnet 4","20","requests","0.04","0.8","0.8","0","False","1000","org004_emu","cost_center_002","78.2","0.782"
"2025-10-02","user079_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","39","requests","0.04","1.56","1.56","0","False","1000","org004_emu","cost_center_002","258.57","2.5857"
"2025-10-02","user080_emu","copilot","copilot_premium_request","GPT-5","29","requests","0.04","1.16","1.16","0","False","1000","org002_emu","cost_center_002","24.65","0.2465"
"2025-10-02","user081_emu","copilot","copilot_premium_request","Coding Agent model","12","requests","0.04","0.48","0.48","0","False","300","org001_emu","cost_center_001","70.2","0.702"
"2025-10-02","user082_emu","copilot","copilot_premium_request","Code Review model","33","requests","0.04","1.32","1.32","0","False","1000","org001_emu","","0","0"
"2025-10-02","user083_emu","copilot","copilot_premium_request","GPT-5","31","requests","0.04","1.24","1.24","0","False","1000","org001_emu","cost_center_001","31","0.31"
"2025-10-02","user084_emu","copilot","copilot_premium_request","Claude Opus 4.1","14","requests","0.04","0.56","0.56","0","False","1000","org001_emu","cost_center_001","28.56","0.2856"
"2025-10-02","user084_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","27","requests","0.04","1.08","1.08","0","False","1000","org001_emu","cost_center_001","273.78","2.7378"
"2025-10-03","power-user-001_emu","copilot","copilot_premium_request","Claude Haiku 4.5","9.24","requests","0.04","0.3696","0.3696","0","False","300","","","12.012","0.12012"
"2025-10-03","power-user-001_emu","copilot","copilot_premium_request","Claude Opus 4.5","11","requests","0.04","0.44","0.44","0","False","300","","","18.48","0.1848"
"2025-10-03","power-user-001_emu","copilot","copilot_premium_request","Gemini 3 Pro","10","requests","0.04","0.4","0.4","0","False","300","","","0","0"
"2025-10-03","power-user-001_emu","copilot","copilot_premium_request","GPT-5.1-Codex","8","requests","0.04","0.32","0.32","0","False","300","","","39.44","0.3944"
"2025-10-03","power-user-002_emu","copilot","copilot_premium_request","Claude Sonnet 4","1","requests","0.04","0.04","0.04","0","False","300","","","5.29","0.0529"
"2025-10-03","power-user-003_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","1","requests","0.04","0.04","0.04","0","False","300","","","10.14","0.1014"
"2025-10-03","power-user-004_emu","copilot","copilot_premium_request","Claude Opus 4.5","42","requests","0.04","1.68","1.68","0","False","300","","","115.92","1.1592"
"2025-10-03","power-user-005_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","20","requests","0.04","0.8","0.8","0","False","300","","","179.4","1.794"
"2025-10-03","power-user-006_emu","copilot","copilot_premium_request","Claude Opus 4.5","14","requests","0.04","0.56","0.56","0","False","300","","","38.64","0.3864"
"2025-10-03","power-user-007_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","88","requests","0.04","3.52","3.52","0","False","300","","","789.36","7.8936"
"2025-10-03","user001_emu","copilot","copilot_premium_request","Claude Sonnet 4","1","requests","0.04","0.04","0.04","0","False","1000","org001_emu","cost_center_001","4.6","0.046"
"2025-10-03","user002_emu","copilot","copilot_premium_request","Claude Opus 4.1","10","requests","0.04","0.4","0.4","0","False","1000","org002_emu","cost_center_001","20.4","0.204"
"2025-10-03","user002_emu","copilot","copilot_premium_request","Claude Sonnet 4","2","requests","0.04","0.08","0.08","0","False","1000","org002_emu","cost_center_001","6.44","0.0644"
"2025-10-03","user002_emu","copilot","copilot_premium_request","Coding Agent model","1","requests","0.04","0.04","0.04","0","False","1000","org002_emu","cost_center_001","5.175","0.05175"
"2025-10-03","user003_emu","copilot","copilot_premium_request","Claude Sonnet 4","41","requests","0.04","1.64","1.64","0","False","300","org003_emu","cost_center_001","216.89","2.1689"
"2025-10-03","user004_emu","copilot","copilot_premium_request","Claude Sonnet 4","16","requests","0.04","0.64","0.64","0","False","1000","org004_emu","cost_center_001","51.52","0.5152"
"2025-10-03","user043_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","72","requests","0.04","2.88","2.88","0","False","300","org001_emu","cost_center_001","645.84","6.4584"
"2025-10-03","user044_emu","copilot","copilot_premium_request","Claude Sonnet 4","45","requests","0.04","1.8","1.8","0","False","300","org005_emu","cost_center_004","175.95","1.7595"
"2025-10-03","user045_emu","copilot","copilot_premium_request","Code Review model","216","requests","0.04","8.64","8.64","0","False","1000","org005_emu","","483.84","4.8384"
"2025-10-03","user046_emu","copilot","copilot_premium_request","Claude Sonnet 4","227","requests","0.04","9.08","9.08","0","False","1000","org004_emu","","887.57","8.8757"
"2025-10-03","user046_emu","copilot","copilot_premium_request","Coding Agent model","114","requests","0.04","4.56","4.56","0","False","1000","org004_emu","","666.9","6.669"
"2025-10-03","user047_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","29","requests","0.04","1.16","1.16","0","False","300","org001_emu","cost_center_001","260.13","2.6013"
"2025-10-03","user048_emu","copilot","copilot_premium_request","GPT-5","83","requests","0.04","3.32","3.32","0","False","1000","org003_emu","cost_center_002","83","0.83"
"2025-10-03","user049_emu","copilot","copilot_premium_request","GPT-5","110","requests","0.04","4.4","4.4","0","False","1000","org004_emu","","143","1.43"
"2025-10-03","user050_emu","copilot","copilot_premium_request","Claude Sonnet 4","15","requests","0.04","0.6","0.6","0","False","300","org002_emu","cost_center_001","58.65","0.5865"
"2025-10-03","user050_emu","copilot","copilot_premium_request","Code Review model","30","requests","0.04","1.2","1.2","0","False","300","org002_emu","cost_center_001","110.4","1.104"
"2025-10-03","user051_emu","copilot","copilot_premium_request","Claude Opus 4.1","41","requests","0.04","1.64","1.64","0","False","1000","org001_emu","cost_center_002","83.64","0.8364"
"2025-10-03","user051_emu","copilot","copilot_premium_request","Claude Sonnet 4.5","81","requests","0.04","3.24","3.24","0","False","1000","org001_emu","cost_center_002","821.34","8.2134"
"2025-10-03","user052_emu","copilot","copilot_premium_request","Coding Agent model","78","requests","0.04","3.12","3.12","0","False","1000","org001_emu","","245.7","2.457"
"2025-10-03","user053_emu","copilot","copilot_premium_request","GPT-5","69","requests","0.04","2.76","2.76","0","False","1000","org004_emu","cost_center_002","58.65","0.5865"
"2025-10-03","user054_emu","copilot","copilot_premium_request","Claude Sonnet 4","37","requests","0.04","1.48","1.48","0","False","300","org005_emu","cost_center_002","170.2","1.702"
